# Database file name:              /home/terminator2/Documents/R_Projects/AnomalyRulesMining/coron-0.8/../shifted.basenum
# Database file size:              21,716 bytes
# Number of lines:                 1,965
# Total number of attributes:      17
# Number of non empty attributes:  17
# Number of attributes in average: 4.58
# Density:                         26.96%
# min_supp:                        5, i.e. 0.25%
# Chosen algorithm:                A-Close

{1} (1588) [key: +; closure: {1}]
{4, 12, 15} (15) [key: +; closure: {1, 4, 6, 7, 11, 12, 13, 14, 15}]
{4, 12, 17} (10) [key: +; closure: {1, 4, 6, 7, 8, 11, 12, 13, 14, 17}]
{4, 13, 17} (13) [key: +; closure: {1, 4, 6, 7, 8, 11, 13, 17}]
{4, 14, 15} (15) [key: +; closure: {1, 4, 6, 7, 11, 12, 13, 14, 15}]
{4, 14, 17} (11) [key: +; closure: {1, 4, 6, 7, 8, 11, 13, 14, 17}]
{4, 15, 17} (8) [key: +; closure: {1, 4, 6, 7, 8, 11, 12, 13, 14, 15, 17}]
{6, 8, 13} (31) [key: +; closure: {1, 6, 8, 11, 13}]
{6, 8, 17} (249) [key: +; closure: {6, 8, 11, 17}]
{6, 11, 13} (87) [key: +; closure: {1, 6, 11, 13}]
{6, 11, 17} (266) [key: +; closure: {6, 11, 17}]
{6, 15, 17} (30) [key: +; closure: {1, 6, 15, 17}]
{7, 8, 13} (27) [key: +; closure: {1, 6, 7, 8, 11, 13}]
{7, 8, 15} (16) [key: +; closure: {1, 6, 7, 8, 11, 13, 15}]
{7, 8, 17} (25) [key: +; closure: {6, 7, 8, 11, 17}]
{7, 9, 17} (13) [key: +; closure: {1, 6, 7, 8, 9, 11, 13, 17}]
{7, 10, 15} (9) [key: +; closure: {1, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15}]
{7, 11, 13} (83) [key: +; closure: {1, 6, 7, 11, 13}]
{7, 11, 15} (32) [key: +; closure: {1, 6, 7, 11, 13, 15}]
{7, 11, 17} (42) [key: +; closure: {6, 7, 11, 17}]
{7, 12, 13} (28) [key: +; closure: {1, 6, 7, 12, 13, 14}]
{7, 12, 15} (23) [key: +; closure: {1, 6, 7, 12, 15}]
{7, 12, 17} (23) [key: +; closure: {6, 7, 12, 17}]
{7, 13, 15} (95) [key: +; closure: {1, 6, 7, 13, 15}]
{7, 14, 15} (92) [key: +; closure: {1, 6, 7, 13, 14, 15}]
{7, 15, 17} (26) [key: +; closure: {1, 6, 7, 15, 17}]
{8, 12, 15} (13) [key: +; closure: {1, 6, 7, 8, 11, 12, 13, 14, 15}]
{8, 12, 17} (13) [key: +; closure: {1, 6, 7, 8, 11, 12, 13, 14, 17}]
{8, 13, 17} (23) [key: +; closure: {1, 6, 7, 8, 11, 13, 17}]
{8, 14, 15} (13) [key: +; closure: {1, 6, 7, 8, 11, 12, 13, 14, 15}]
{8, 14, 17} (18) [key: +; closure: {1, 6, 7, 8, 11, 13, 14, 17}]
{8, 15, 17} (14) [key: +; closure: {1, 6, 7, 8, 11, 13, 15, 17}]
{9, 10, 15} (9) [key: +; closure: {1, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15}]
{9, 12, 17} (10) [key: +; closure: {1, 6, 7, 8, 9, 11, 12, 13, 14, 15, 17}]
{9, 13, 17} (13) [key: +; closure: {1, 6, 7, 8, 9, 11, 13, 17}]
{9, 14, 17} (11) [key: +; closure: {1, 6, 7, 8, 9, 11, 13, 14, 17}]
{9, 15, 17} (10) [key: +; closure: {1, 6, 7, 8, 9, 11, 12, 13, 14, 15, 17}]
{10, 12, 17} (7) [key: +; closure: {1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17}]
{10, 14, 15} (9) [key: +; closure: {1, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15}]
{10, 15, 17} (7) [key: +; closure: {1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17}]
{11, 12, 13} (27) [key: +; closure: {1, 6, 7, 11, 12, 13, 14}]
{11, 12, 14} (27) [key: +; closure: {1, 6, 7, 11, 12, 13, 14}]
{11, 12, 15} (20) [key: +; closure: {1, 6, 7, 11, 12, 13, 14, 15}]
{11, 12, 17} (17) [key: +; closure: {1, 6, 7, 11, 12, 17}]
{11, 13, 17} (38) [key: +; closure: {1, 6, 7, 11, 13, 17}]
{11, 14, 15} (29) [key: +; closure: {1, 6, 7, 11, 13, 14, 15}]
{11, 14, 17} (33) [key: +; closure: {1, 6, 7, 11, 13, 14, 17}]
{11, 15, 17} (25) [key: +; closure: {1, 6, 7, 11, 13, 15, 17}]
{12, 13, 15} (20) [key: +; closure: {1, 6, 7, 11, 12, 13, 14, 15}]
{12, 13, 17} (15) [key: +; closure: {1, 6, 7, 11, 12, 13, 14, 17}]
{12, 14, 15} (20) [key: +; closure: {1, 6, 7, 11, 12, 13, 14, 15}]
